id,area,feature,roles,user_entry,backend,origin,feature_flag,existing_tests,verify_by,phase,data_risk,status_signals,confidence,capability_ledger_id,rails_routes,ember_routes
SET-11,"Setup, auth, account & purchasing",AI data-sharing and EU AI Act Art.50 disclosure documents,communicator; supervisor-SLP; org-admin,"privacy page links app/frontend/app/templates/privacy.hbs:68,76; Art.50 gate URL app/frontend/app/utils/article50_gate.js:34",ai_consent/disclosures#show app/controllers/ai_consent/disclosures_controller.rb:18 (art50 branch + locale allowlist),LingoLinq-new (vs sweet-suite mirror 55aaa8a: disclosures_controller.rb absent; v1.html.erb absent; art50_v1.html.erb absent; ai_consent_disclosures.rb absent; article50_disclosures.rb absent; 0/1 routes are upstream actions),none,spec/controllers/ai_consent/disclosures_controller_spec.rb,agent: GET known/unknown versions and locales,6,no,,CONFIRMED,art50-1-disclosure-modal,16,
SET-12,"Setup, auth, account & purchasing","Google SSO sign-in, account linking and Google signup",communicator; supervisor-SLP,"login-form Google button (googleSsoEnabled app/frontend/app/components/login-form.js:410, link flow :228-251); register Continue with Google app/frontend/app/controllers/register.js:436-442,583,617","session#google_start app/controllers/session_controller.rb:745 (COPPA birth POST-only :770-788, EU under-16 opt-in strip :790-792), #google_callback :803, #google_link_candidates :858, #google_link_complete :880, #google_signup_candidates :923, #google_signup_complete :952",LingoLinq-new (vs sweet-suite mirror 55aaa8a: session_controller.rb churn 115%; login-form.js churn 381% (frontend); register.js churn 1224% (frontend); login.js churn 243% (frontend); google_o_auth.rb absent; google_authentication.rb absent; 0/7 routes are upstream actions),"google_sso (code: ENABLED_FRONTEND_FEATURES) read app/frontend/app/components/login-form.js:410, app/frontend/app/controllers/register.js:315; backend gated only by ENV client id/secret (session_controller.rb:1036-1037, lib/google_o_auth.rb:18)",spec/controllers/session_controller_spec.rb; spec/lib/google_o_auth_spec.rb; app/frontend/tests/integration/google-sso-test.js,human: real Google OAuth round-trip,0,"yes: Google email/sub, birth month/year, account linking","server does not check the google_sso flag, only ENV",CONFIRMED,,29 30 31 32 33 34 35,
SET-13,"Setup, auth, account & purchasing","SAML org SSO login, IdP logout and linking an account to org SSO",communicator; supervisor-SLP; org-admin,login-form auth lookup app/frontend/app/components/login-form.js:1238; link from supervision settings app/frontend/app/components/supervision-settings.js:198-206,"session#auth_lookup app/controllers/session_controller.rb:292 (link_auth permission :305), #saml_tmp_token :316, #saml_redirect :325, #saml_start :332, #saml_consume :366, #saml_metadata :259, #saml_idp_logout_request :476, #token_wait (popout) :499",heavily modified (vs sweet-suite mirror 55aaa8a: session_controller.rb churn 115%; saml_consume.html.erb churn 0%; saml_redirect.html.erb churn 0%; organization.rb churn 22%; login-form.js churn 381% (frontend); supervision-settings.js absent; 8/8 routes are upstream actions),none (org.settings saml_metadata_url),spec/controllers/session_controller_spec.rb,human: needs a configured IdP,7,yes: links external identity to user,,CONFIRMED,,27 36 37 38 39 40 41 44,
SET-14,"Setup, auth, account & purchasing",OAuth2 authorization for third-party apps (developer keys) incl. refresh and logout,communicator; supervisor-SLP; system,server-rendered consent page app/views/session/oauth.html.erb (GET /oauth2/token),"session#oauth app/controllers/session_controller.rb:4, #oauth_login :65 (2FA :118-131), #oauth_token :169, #oauth_logout :210 (require_api_token :2), #oauth_local :216, #oauth_token_refresh :220",heavily modified (vs sweet-suite mirror 55aaa8a: session_controller.rb churn 115%; oauth.html.erb churn 18%; oauth_local.html.erb churn 0%; device.rb churn 12%; token.rb churn 0%; 6/6 routes are upstream actions),none,spec/controllers/session_controller_spec.rb,agent: full code->token exchange with a DeveloperKey,8,yes: issues scoped API tokens to external apps,,CONFIRMED,,21 22 23 25 26 42,
SET-15,"Setup, auth, account & purchasing","Service status, heartbeat and health probes",system,none (API/background only),"session#status app/controllers/session_controller.rb:1008 (minimal unless @api_user), #heartbeat :731, #health :735 (DB+Redis)",heavily modified (vs sweet-suite mirror 55aaa8a: session_controller.rb churn 115%; 3/4 routes are upstream actions),none,spec/controllers/session_controller_spec.rb,agent: GET endpoints,8,no,,CONFIRMED,,72 73 75 76,
SET-16,"Setup, auth, account & purchasing","Profile edit (name, email, cell, password change, avatar, public flag, contacts, classroom login)",communicator; supervisor-SLP; org-admin,"user.edit@133: app/frontend/app/templates/user/edit.hbs:1 (permissions.edit), linked from app/frontend/app/templates/user.hbs:14 || user edit/preferences pages app/frontend/app/controllers/user/edit.js:129 (same page family); saves via Ember user model app/frontend/app/models/user.js",api/users#update app/controllers/api/users_controller.rb:197 || Api::UsersController#update app/controllers/api/users_controller.rb:197 (authorization branches :206-224; edit required :223); User#process_params app/models/user.rb:2505,heavily modified (vs sweet-suite mirror 55aaa8a: users_controller.rb churn 76%; user.rb churn 156%; edit.hbs churn 132% (frontend); edit.js churn 19% (frontend); edit.js churn 0% (frontend); user.js churn 38% (frontend); preferences.js churn 51% (frontend); 2/2 routes are upstream actions),new_speak_menu (code: ENABLED) gates contacts block templates/user/edit.hbs:176,app/frontend/tests/controllers/user/edit-test.js; spec/controllers/api/users_controller_spec.rb,agent: PUT user fields,0,"yes: email, cell phone, contacts || yes: writes profile PII and settings",,CONFIRMED,auth-passwords,211 212,user.edit@133
SET-17,"Setup, auth, account & purchasing",My Account hub (/:user/account) and user shell route,communicator; supervisor-SLP; org-admin; system,user.account@132: app/frontend/app/routes/user/account.js:8-9 (renders templates/user/index.hbs with user/index controller); user@128 app/frontend/app/routes/user.js || user account page app/frontend/app/templates/user/index.hbs:179 (Supervision card; page is rendered for any viewed user),api/users#show app/controllers/api/users_controller.rb:6 || Api::UsersController#show app/controllers/api/users_controller.rb:6 (view_existence :20; registration_code bypass :15),heavily modified (vs sweet-suite mirror 55aaa8a: users_controller.rb churn 76%; user.rb churn 41%; user.js churn 616% (frontend); user.hbs churn 172% (frontend); index.hbs churn 145% (frontend); index.js churn 173% (frontend); user.js churn 38% (frontend); account.js absent; 1/1 routes are upstream actions),subscriptions (code: ENABLED) read app/frontend/app/templates/user/index.hbs:119,app/frontend/tests/controllers/user/index-test.js; spec/controllers/api/users_controller_spec.rb,agent: route renders with user fixture,0,"yes: loads logs, goals, badges (routes/user/account.js:22-25) || yes: returns profile PII (email/name) to authorized viewers",,CONFIRMED,,210,user@128 user.account@132
SET-18,"Setup, auth, account & purchasing","Device management (list, rename, remove/hide devices)",communicator; supervisor-SLP,"My Devices link app/frontend/app/templates/user/index.hbs:274,328 -> view_devices app/frontend/app/controllers/user/index.js:1494 -> device-settings modal app/frontend/app/components/device-settings.js:51-76 || user device list via app/frontend/app/models/user.js:653 and :667","api/users#hide_device app/controllers/api/users_controller.rb:494 (delete permission), #rename_device :507 (edit permission) || Api::UsersController#hide_device app/controllers/api/users_controller.rb:494 (delete); #rename_device :507 (edit)",heavily modified (vs sweet-suite mirror 55aaa8a: users_controller.rb churn 76%; user.js churn 38% (frontend); device-settings.js absent; device-settings.hbs absent; 2/2 routes are upstream actions),none,spec/controllers/api/users_controller_spec.rb; app/frontend/tests/controllers/device-settings-test.js; app/frontend/tests/views/device-settings-test.js,agent: rename/hide via API; human: multi-device check,0,no,hide only sets settings.hidden; token not revoked (users_controller.rb:498-500),ASSUMED: exact Ember page that renders the device list not opened,,173 174,
SET-19,"Setup, auth, account & purchasing","Subscription view/purchase/manage (Stripe checkout, communicator plans, premium supporter, unsubscribe, premium symbols extras)",communicator; supervisor-SLP; system,user.subscription@135: app/frontend/app/routes/user/subscription.js:14-38; app/frontend/app/components/subscription-form.hbs (supporter card :214-258) || subscription page app/frontend/app/controllers/user/subscription.js:58 and :128; app receipts app/frontend/app/utils/subscription.js:876,"api/users#subscribe app/controllers/api/users_controller.rb:640 (edit or registration_code confirmation :661-664), #unsubscribe :677; lib/purchasing.rb:251 purchase; User#process_subscription_token app/models/concerns/subscription.rb:422; premium_supporter? :882 || Api::UsersController#subscribe app/controllers/api/users_controller.rb:640 (admin override types need admin_support_actions :655-658); #unsubscribe :677; #verify_receipt :688",heavily modified (vs sweet-suite mirror 55aaa8a: users_controller.rb churn 76%; purchasing.rb churn 10%; subscription.rb churn 1%; subscription.js churn 26% (frontend); subscription.js churn 22% (frontend); subscription.hbs churn 115% (frontend); subscription-form.js churn 26% (frontend); subscription.js churn 12% (frontend); subscription-form.hbs absent; 3/3 routes are upstream actions),"subscriptions (code: ENABLED) read app/frontend/app/templates/user/index.hbs:119, templates/user/boards.hbs:65, components/page-footer.hbs:12 (links only; route itself unguarded) || subscriptions (code: ENABLED_FRONTEND_FEATURES lib/feature_flags.rb:117); read site not verified",spec/controllers/api/users_controller_spec.rb; spec/lib/purchasing_spec.rb; spec/models/concerns/subscription_spec.rb; app/frontend/tests/utils/subscription-test.js,human: Stripe payment,0,yes: billing/customer ids,,CONFIRMED,,168 169 170,user.subscription@135
SET-20,"Setup, auth, account & purchasing",Stripe webhook subscription/extras events,system,none (API/background only),api/purchasing#event app/controllers/api/purchasing_controller.rb:2 -> Purchasing.subscription_event lib/purchasing.rb:4 (re-fetches event from Stripe :9),upstream sweet-suite (vs sweet-suite mirror 55aaa8a: purchasing_controller.rb churn 11%; purchasing.rb churn 10%; 1/1 routes are upstream actions),none,spec/controllers/api/purchasing_controller_spec.rb; spec/lib/purchasing_spec.rb,agent: stubbed Stripe events,8,yes: billing state changes,,CONFIRMED,,409,
SET-21,"Setup, auth, account & purchasing",In-app store purchases (iOS/Android receipt verification),communicator; supervisor-SLP,"user.subscription inside a native wrapper: app/frontend/app/utils/subscription.js:822 (window.store), :876 verify_receipt call",api/users#verify_receipt app/controllers/api/users_controller.rb:688; Purchasing.verify_receipt lib/purchasing.rb:745,heavily modified (vs sweet-suite mirror 55aaa8a: users_controller.rb churn 76%; purchasing.rb churn 10%; subscription.js churn 12% (frontend)),"app_store_purchases (code: ENABLED) read app/frontend/app/utils/subscription.js:279; app_store_monthly_purchases (code: AVAILABLE only, off) read app/frontend/app/utils/subscription.js:290",spec/controllers/api/users_controller_spec.rb; spec/lib/purchasing_spec.rb,human: native app + store sandbox,0,yes: purchase receipts,only reachable when a native wrapper injects window.store; no native shell in repo,CONFIRMED,,,
SET-22,"Setup, auth, account & purchasing",Purchase premium as a gift,communicator; supervisor-SLP,"gift_purchase@101: app/frontend/app/routes/gift_purchase.js:7-12 (full_domain only); linked from templates/user/subscription.hbs:188, templates/pricing.hbs:184",api/purchasing#purchase_gift app/controllers/api/purchasing_controller.rb:19 -> GiftPurchase.process_subscription_token app/models/gift_purchase.rb:162; Purchasing.purchase_gift lib/purchasing.rb:599,upstream sweet-suite (vs sweet-suite mirror 55aaa8a: purchasing_controller.rb churn 11%; gift_purchase.rb churn 2%; purchasing.rb churn 10%; gift_purchase.js churn 54% (frontend); gift_purchase.js churn 22% (frontend); gift_purchase.hbs churn 63% (frontend); 1/1 routes are upstream actions),none,spec/controllers/api/purchasing_controller_spec.rb; spec/models/gift_purchase_spec.rb,human: Stripe payment,8,yes: purchaser email/billing,,CONFIRMED,,410,gift_purchase@101
SET-23,"Setup, auth, account & purchasing",Bulk license purchase page (/purchase/:id),org-admin,"bulk_purchase@102: app/frontend/app/routes/bulk_purchase.js:10-16; controllers/bulk_purchase.js:17-20,99","api/gifts#show app/controllers/api/gifts_controller.rb:5 (public, verifier check :12); api/purchasing#purchase_gift app/controllers/api/purchasing_controller.rb:19",upstream sweet-suite (vs sweet-suite mirror 55aaa8a: gifts_controller.rb churn 22%; purchasing_controller.rb churn 11%; bulk_purchase.js churn 41% (frontend); bulk_purchase.js churn 27% (frontend); bulk_purchase.hbs churn 99% (frontend); 1/1 routes are upstream actions),none,spec/controllers/api/gifts_controller_spec.rb; app/frontend/tests/models/gift-test.js,human: payment,7,yes: billing,TODO brute-force throttling on gift lookup app/controllers/api/gifts_controller.rb:3,CONFIRMED,,234,bulk_purchase@102
SET-24,"Setup, auth, account & purchasing",Redeem gift code,communicator; supervisor-SLP,redeem@99: app/frontend/app/controllers/redeem.js:34-35; redeem_with_code@100: app/frontend/app/routes/redeem_with_code.js:10-21 -> user.subscription?code (templates/redeem_with_code.hbs:21),api/gifts#show app/controllers/api/gifts_controller.rb:5; api/purchasing#code_check app/controllers/api/purchasing_controller.rb:7; api/users#subscribe type gift_code app/controllers/api/users_controller.rb:651-654 -> redeem_gift_token app/models/concerns/subscription.rb:407,upstream sweet-suite (vs sweet-suite mirror 55aaa8a: gifts_controller.rb churn 22%; purchasing_controller.rb churn 11%; gift_purchase.rb churn 2%; redeem.js churn 273% (frontend); redeem_with_code.js churn 31% (frontend); redeem.hbs churn 77% (frontend); redeem_with_code.hbs churn 111% (frontend); 2/2 routes are upstream actions),none,spec/controllers/api/gifts_controller_spec.rb; spec/controllers/api/purchasing_controller_spec.rb; spec/controllers/api/users_controller_spec.rb,agent: code_check + subscribe gift_code,0,no,no in-app links to /redeem found (only direct URL),CONFIRMED,,229 234,redeem@99 redeem_with_code@100
SET-25,"Setup, auth, account & purchasing","Admin gift/code management (list, create, deactivate)",system,"admin org extras: app/frontend/app/controllers/organization/extras.js:20 (list), :136 (create)","api/gifts#index app/controllers/api/gifts_controller.rb:16, #create :22, #destroy :48 (all admin_support_actions)",upstream sweet-suite (vs sweet-suite mirror 55aaa8a: gifts_controller.rb churn 22%; gift_purchase.rb churn 2%; extras.js churn 24% (frontend); 3/3 routes are upstream actions),none,spec/controllers/api/gifts_controller_spec.rb,agent: admin API calls,7,no,no frontend caller for destroy (API only),CONFIRMED,,230 231 237,
SET-26,"Setup, auth, account & purchasing",Start code landing page and signup with a start/activation code,communicator; supervisor-SLP,"start_codes@81: app/frontend/app/routes/start_codes.js, controllers/start_codes.js:18-25; register?code=&v= app/frontend/app/routes/register.js:30-32","api/organizations#start_code_lookup app/controllers/api/organizations_controller.rb:122; api/users#create start code app/controllers/api/users_controller.rb:256-261,279-284; Organization.parse_activation_code app/models/organization.rb:1417",heavily modified (vs sweet-suite mirror 55aaa8a: users_controller.rb churn 76%; organization.rb churn 22%; start_codes.js churn 7% (frontend); start_codes.js churn 7% (frontend); start_codes.hbs churn 238% (frontend); register.js churn 1224% (frontend); 1/1 routes are upstream actions),none,spec/controllers/api/users_controller_spec.rb; spec/models/organization_spec.rb,agent: create user with valid/disabled code,0,"yes: auto-links supervisors/org, AuditEvent via_start_code",,CONFIRMED,,20,start_codes@81
SET-27,"Setup, auth, account & purchasing",Generate/delete start codes (start-codes modal) incl. 'Apply shallow clones' option,supervisor-SLP; org-admin,"app/frontend/app/components/supervision-settings.js:221 and app/frontend/app/controllers/organization/settings.js:166 open modals/start-codes; option at app/frontend/app/components/start-codes.hbs:168-172, sent at components/start-codes.js:198-199 || supervision-settings start codes app/frontend/app/components/supervision-settings.js:221 -> app/frontend/app/components/start-codes.js:142 and :219",api/users#start_code app/controllers/api/users_controller.rb:395 (supporter_role only :399); Organization.activation_code app/models/organization.rb:1284; shallow flag stored :1410 || Api::UsersController#start_code app/controllers/api/users_controller.rb:395 (edit; supporter_role only :400),heavily modified (vs sweet-suite mirror 55aaa8a: users_controller.rb churn 76%; organization.rb churn 22%; start-codes.js churn 180% (frontend); start-codes.js absent; start-codes.hbs absent; 1/1 routes are upstream actions),"shallow_clones (code: AVAILABLE only, off) is NOT read by the start-codes UI; only read app/models/user.rb:2334,2348 (starred-board refs)",spec/controllers/api/users_controller_spec.rb; spec/models/organization_spec.rb,agent: POST start_code with overrides,4,no,"shallow_clone override is ignored on activation: check commented out, copy always shallow app/models/organization.rb:1516-1518",CONFIRMED,,178,
SET-28,"Setup, auth, account & purchasing","Setup wizard (/setup) - retired, redirects home",communicator; supervisor-SLP,setup@124: app/frontend/app/routes/setup.js:42-51 (beforeModel return_to_index),boards#index shell app/controllers/boards_controller.rb:5,upstream sweet-suite (vs sweet-suite mirror 55aaa8a: setup.js churn 352% (frontend); setup.js churn 83% (frontend); setup.hbs churn 336% (frontend); 1/1 routes are upstream actions),none,app/frontend/tests/unit/routes/setup-retired-test.js,agent: visiting /setup lands on home,1,no,disabled: blanket redirect app/frontend/app/routes/setup.js:42-51; wizard files dormant,CONFIRMED,,50,setup@124
SET-29,"Setup, auth, account & purchasing","Standalone home-board picker (/board-picker), self or supervisee",communicator; supervisor-SLP,board-picker@127: app/frontend/app/routes/board-picker.js:9-25; app/frontend/app/templates/board-picker.hbs,none of its own; assign flow app/frontend/app/controllers/board-picker.js:211 and create board :235-239 (check_for_needing_purchase),LingoLinq-new (vs sweet-suite mirror 55aaa8a: board-picker.js absent; board-picker.js absent; board-picker.hbs absent; recommended_home_board.js absent),none,NONE,human: board selection UX,1,no,,ASSUMED: backend endpoints for the actual home-board assignment not traced,,,board-picker@127
